Date,Open,High,Low,Close,Change,Volume,Return,MA_7,MA_30,Volatility,Day_Of_Week,Month,Days_Since_Last_Trade,RSI_14,EMA_12,EMA_26,MACD,Target
2008-02-22,10634.22,10635.42,10546.38,10607.29,0.0,313082688,,,,,4,2,0.0,50.0,10607.29,10607.29,0.0,0
2008-02-25,10625.66,10709.06,10579.49,10588.84,-18.45,273149184,-0.0017393698107622813,,,,0,2,3.0,50.0,10604.451538461539,10605.923333333334,-1.4717948717952822,1
2008-02-26,10596.4,10668.35,10578.01,10668.35,79.51,265668784,0.007508848939071777,,,,1,2,1.0,50.0,10614.282071005917,10610.547530864198,3.734540141718753,0
2008-02-27,10670.68,10732.92,10623.36,10664.36,-3.99,396419776,-0.00037400347757621244,,,,2,2,1.0,50.0,10621.986367774238,10614.53363968907,7.452728085167109,1
2008-02-28,10688.98,10724.21,10655.23,10704.15,39.79,325539584,0.003731119354560386,,,,3,2,1.0,50.0,10634.626926578201,10621.171888600991,13.45503797720994,0
2008-02-29,10726.05,10750.6,10618.88,10635.69,-68.46,335109824,-0.006395650285169641,,,,4,2,1.0,50.0,10634.790476335402,10622.247304260178,12.543172075223993,0
2008-03-03,10658.04,10663.51,10501.1,10554.05,-81.64,196083664,-0.00767604170486369,10631.81857142857,,,0,3,3.0,50.0,10622.368864591494,10617.195652092756,5.173212498737485,0
2008-03-04,10585.64,10606.35,10420.64,10487.61,-66.44,217864448,-0.006295213685741374,10614.721428571429,,0.005699061294933751,1,3,1.0,50.0,10601.636731577417,10607.596714900701,-5.9599833232841775,1
2008-03-05,10521.65,10653.56,10521.65,10643.06,155.45,267425136,0.014822252162313365,10622.467142857144,,0.008421733615481344,2,3,1.0,50.0,10608.009542103968,10610.223624908056,-2.2140828040883207,1
2008-03-06,10718.81,10792.53,10718.81,10769.39,126.33,321543552,0.011869706644517697,10636.901428571427,,0.009135223430327268,3,3,1.0,50.0,10632.837304857203,10622.013726766718,10.82357809048517,0
2008-03-07,10777.36,10799.27,10690.48,10741.91,-27.48,291107200,-0.002551676557353666,10647.98,,0.009241498099607065,4,3,1.0,50.0,10649.617719494556,10630.894932191404,18.722787303151563,0
2008-03-10,10790.34,10792.4,10595.15,10616.98,-124.93,185722736,-0.01163014771116122,10635.527142857143,,0.010271301042804853,0,3,3.0,50.0,10644.59653188001,10629.864196473523,14.732335406486527,1
2008-03-11,10580.66,10637.53,10547.34,10630.41,13.43,190572512,0.00126495481765998,10634.772857142858,,0.010020865140792349,1,3,1.0,50.0,10642.413988513856,10629.904626364372,12.509362149483422,1
2008-03-12,10676.96,10775.67,10676.96,10775.67,145.26,308547264,0.013664571733357445,10666.432857142858,,0.01053914264048947,2,3,1.0,50.0,10662.914913357878,10640.702061448492,22.21285190938579,0
2008-03-13,10808.96,10813.25,10660.86,10717.56,-58.11,311909152,-0.005392704119558278,10699.282857142856,,0.010410924093328881,3,3,1.0,55.46285929434139,10671.321849764357,10646.395242081937,24.92660768242058,0
2008-03-14,10735.88,10774.19,10686.88,10714.35,-3.21,218249920,-0.00029950847021142923,10709.467142857144,,0.009067356535130994,4,3,1.0,56.31318974276434,10677.941565185225,10651.428927853645,26.512637331579754,0
